genes,APC1320ko,RKO_CM,RKO_RSPO1mut_CM,WTko,APC1320_CRISPRa,WT_CRISPRa
ACAT2,0.431692895,0.070827539,-0.357463973,-0.275329209,0.056303573,0.332401896
ACBD3,-0.122538113,-1.089052195,-1.292886997,-0.587257619,-0.421778984,-0.447921187
ACBD4,-0.12051193,0.147140044,0.00481448,0.288231703,0.551867279,0.473743346
ACBD5,-0.047688118,0.590777793,0.547885287,0.586704694,-0.290908884,-0.450065687
ACBD6,-0.500651196,0.082637935,0.216640904,0.078997746,0.041707295,-0.403743154
ACBD7,0.422539564,0.018988563,0.226446477,-0.128229337,-0.0446372,0.096804983
ACCS,-0.175402917,0.183121406,-0.592591986,0.716287447,-0.833818323,0.008635753
ACCSL,0.412270487,0.128013011,0.243872196,0.153012188,0.08083692,0.072664863
ACD,0.406703965,-0.2097685,-0.03253712,-0.447129614,0.259108996,0.128697438
ACE,-0.053307743,-0.224115404,0.127140189,-0.515958986,-0.385495041,0.034682078
ACE2,0.298156245,-0.23153106,-0.132044116,0.24209682,-0.133574135,-0.300158704
ACER1,-0.003041996,-0.812919367,0.161231561,-0.797425971,-0.195322423,0.215440685
ACER2,0.627280911,-0.020807937,0.594930741,0.344669215,0.222991326,-0.225900643
ACER3,0.262689679,0.063496847,0.284697205,0.542796983,0.072871372,0.264266334
ACHE,0.150804187,-1.166317202,-0.745145241,-0.803446505,0.155660312,0.117285714
ACIN1,0.365930411,0.128919301,0.893049764,-0.055794506,0.165850361,-0.205990765
ACKR1,0.189958596,0.324192804,0.26613014,0.158664038,0.057570224,0.388734071
ACKR2,0.164302738,-0.472211406,-0.169087037,0.362413694,-0.208403139,-0.300935888
ACKR3,0.105446725,0.772588957,-0.471736946,-0.279176976,-0.528132508,0.448760735
ACKR4,0.221515258,0.024781227,0.105004774,0.236333253,-0.11114911,-0.175317641
ACLY,-0.298039994,1.027343544,0.658513496,0.457404889,0.480132895,0.364975136
ACMSD,-0.107944618,-0.056901948,0.493831731,0.275611607,-0.226079674,-0.304485442
ACO1,-0.601697268,0.611916929,-0.186098797,0.456795469,-0.579762523,-0.767933279
ACO2,-1.422392093,0.404870725,0.139762321,-0.314638687,0.501451488,0.051572189
ACOT1,0.257801771,-0.675300356,-0.049461469,0.070351435,0.278277411,0.120423527
ACOT11,-0.419882441,0.172553354,-0.012726361,0.135264346,0.433504093,-0.021357918
ACOT12,0.778398558,0.312523729,0.065090836,-0.209692408,-0.602332125,-0.23594116
ACOT13,-0.269739927,-0.218496936,-0.564420664,-0.325690393,-0.301453072,-0.035359932
ACOT2,0.49586027,-0.163995079,-0.27145829,0.382501494,-0.465810724,0.297013135
ACOT4,-0.402546337,-0.281882148,0.111790541,0.048947902,0.107394571,-0.413464385
ACOT6,0.359689786,-0.343543449,0.141870467,-0.402512967,-0.404559128,-0.566068263
ACOT7,0.256320018,0.160819606,0.089010255,0.026938052,0.518756782,0.545689958
ACOT8,0.382818941,0.071843408,0.339978438,0.02798582,-0.219571763,-0.009429612
ACOT9,-0.594645266,0.168509315,0.303932713,-0.455375551,-0.390019743,0.333961017
ACOX1,0.866962181,0.252009444,0.13923608,0.147020811,-0.201703882,0.226655662
ACOX2,0.795477841,0.193662793,0.184506949,0.586427105,0.555379382,0.269799746
ACOX3,0.532978462,0.076808903,0.307527602,0.318687649,-0.079519282,-0.367353904
ACOXL,0.231793374,0.30537166,-0.098941476,0.563110893,0.163850095,-0.03691649
ACP1,0.173466868,-0.014664207,-0.139719834,0.042740983,0.63451785,0.074987396
ACP2,-0.094978544,0.357232306,0.09080315,-0.56077152,0.055627451,-0.170628037
ACP5,0.400900776,-0.087383825,0.118560088,-0.472802589,-0.045735969,0.426372464
ACP6,-0.032521436,-1.050533563,-0.452625196,-0.414168627,0.483662079,-0.441542157
ACPP,0.592992759,0.610392906,-0.072488312,-0.08210553,0.029677476,-0.261230545
ACPT,0.11855803,-0.46814882,-0.027235948,-0.252299774,-0.107019508,-0.030303473
ACR,-0.224868887,-0.201360086,0.006979502,-0.053223644,0.159649308,0.53603621
ACRBP,-1.055181135,-0.919508698,-0.390058799,-0.38587382,-0.100348875,-0.227377707
ACRV1,-0.016437066,-0.295996115,0.052760706,-0.01541111,-0.481573465,-0.017023428
ACSBG1,0.305523398,-0.046535838,0.635933007,0.623209855,-0.489224907,0.209766281
ACSBG2,0.179501195,-0.519085071,-0.07317299,0.07277271,0.492681583,0.730254112
ACSF2,0.548740879,-0.017304699,-0.022417356,0.278142774,-0.496869844,0.080888823
ACSF3,0.183042713,-0.147832931,0.081487267,0.104332276,-0.263040961,-0.293082029
ACSL1,1.262107888,0.318604196,0.065332241,0.51711213,-0.716123755,-0.433972645
ACSL3,2.178458702,1.090301227,1.861898055,1.446158747,0.043774573,-0.101464208
ACSL4,0.741021859,1.674231827,1.718132633,1.389789462,0.62457816,0.617563464
ACSL5,-0.861432694,0.14744185,-0.357244308,-0.761457813,0.705118514,-0.455126541
ACSL6,-0.240598457,0.654087764,0.122989056,-0.123003759,0.881250339,0.295133519
ACSM1,0.230242016,-0.457920699,-0.24174906,0.038993813,0.573535483,0.463867585
ACSM2A,0.308379375,0.265680387,0.168968871,0.456743706,-0.051314024,-0.154860163
ACSM2B,-0.009085122,0.203107896,0.285624129,-0.247962386,-0.230935753,-0.246668489
ACSM3,0.223601028,0.377022574,-0.000492313,-0.502063444,-0.313370978,0.059405079
ACSM4,-0.254015049,-0.030660033,-0.31665663,-0.30512502,0.184516317,0.145353128
ACSM5,0.600671509,0.175364754,0.167398733,0.194409182,-0.544414918,0.006815407
ACSM6,-0.265032385,-0.559998277,-0.359048771,0.467065462,0.236480262,-0.130325243
ACSS1,0.946577913,-0.071390629,-0.050441274,-0.060282372,1.203111014,1.094225644
ACSS2,0.102526268,-0.425705478,0.125287208,0.10552989,1.709331737,1.37257019
ACSS3,-0.60809601,0.006098293,-0.11442188,-0.181739283,-0.115615114,-0.540074782
ACTA1,0.015339707,-0.245739151,-0.983817216,-0.534156319,0.228202263,0.750215994
ACTA2,-0.201784586,0.337015184,-0.462285235,-0.446722669,0.268860586,-0.080222911
ACTB,-0.216721868,0.08201299,0.164270345,-1.571805997,-0.023912309,-0.317129861
ACTBL2,0.06819215,-0.122531836,0.022014466,-0.067436235,-0.107771896,0.448034537
ACTC1,0.549068089,-0.014313831,0.334561736,0.315098486,0.060429373,0.543744999
ACTG1,-0.407480311,-0.212901784,0.104364669,-1.111610473,-0.103945362,0.403054949
ACTG2,-0.158159206,0.087465659,-0.112240659,-0.013064923,-0.329401973,-0.30117044
ACTL10,0.588459046,-0.110243234,0.064099228,0.090027829,-0.2698967,0.24311101
ACTL6A,-3.77405156,-3.313308176,-2.613768325,-3.449298973,0.918712598,0.12134671
ACTL6B,-0.012739448,-0.760935395,-0.795991871,-0.638546034,0.114158565,-0.222879832
ACTL7A,-0.294627447,-0.31727543,-0.477678367,-0.695432563,-0.021047068,-0.319195929
ACTL7B,0.346778734,0.187058218,-0.266482688,-0.266466096,-0.79962004,-0.353458243
ACTL8,-0.473362231,-0.299550812,0.207699965,0.152363908,-0.602002752,0.006313599
ACTL9,-0.816136808,-0.329047331,-0.188256733,-0.095874564,-0.394552824,-0.055150618
ACTN1,-0.185854155,-0.661273434,-0.72490054,-1.278391701,0.013558947,0.055517664
ACTN2,0.211429395,-0.185829286,0.198145176,0.183732733,0.492720885,-0.327624728
